Player,Team,Position,DRS,FramingRuns Saved,PitchesFramed,StolenBase Runs,PickoffRuns,ThrowingRuns,INF GBRuns,DP RunsStart,DP RunsPivot,IFFBRuns,BuntRuns,OF FlyBallRuns,OF ArmRuns,BlockingRuns
"Anthony Potestio","UC San Diego","SS","6.62","0.00","0","0.00","0.00","0.00","5.88","0.52","0.15","0.08","0.00","0.00","0.00","0.00"
"Tyrus Hall","West Virginia","3B","6.62","0.00","0","0.00","0.00","0.00","6.64","0.04","-0.02","0.02","-0.07","0.00","0.00","0.00"
"Will Geary","Lindenwood","2B","6.60","0.00","0","0.00","0.00","0.00","5.34","0.73","0.48","0.04","0.00","0.00","0.00","0.00"
"Rudy Gonzalez","UTRGV","C","6.60","4.73","272","0.29","0.00","0.29","0.00","0.00","0.00","0.00","0.06","0.00","0.00","1.52"
"Tyler Cowan","Washington","2B","6.58","0.00","0","0.00","0.00","0.00","5.64","0.35","0.55","0.03","0.00","0.00","0.00","0.00"
"Manny Marin","Tennessee","SS","6.57","0.00","0","0.00","0.00","0.00","6.17","-0.16","0.47","0.09","0.00","0.00","0.00","0.00"
"Nolan Zajac","Western Michigan","C","6.56","2.67","690","-0.84","-0.68","-1.52","0.03","0.00","-0.01","0.00","0.12","0.00","0.00","5.26"
"Jake Bechtel","UNC Wilmington","CF","6.53","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.21","2.32","0.00"
"Kyle McDaniel","Utah Tech","2B","6.51","0.00","0","0.00","0.00","0.00","5.18","0.41","0.87","0.04","0.00","0.00","0.00","0.00"
"Josh Hoffmann","New Orleans","C","6.50","3.48","201","0.51","-0.12","0.39","0.00","0.00","0.00","0.00","-0.09","0.00","0.00","2.72"
"Payton Brennan","UCLA","RF","6.49","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.21","0.28","0.00"
"Nico Partida","Texas A&M","3B","6.43","0.00","0","0.00","0.00","0.00","6.20","0.14","0.00","0.05","0.04","0.00","0.00","0.00"
"Jordan Lodise","UCF","SS","6.43","0.00","0","0.00","0.00","0.00","5.84","0.16","0.39","0.05","0.00","0.00","0.00","0.00"
"Davis Germann","Morehead State","CF","6.43","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.66","0.77","0.00"
"Zach Justice","San Diego State","C","6.42","6.20","618","-0.38","0.00","-0.38","0.29","0.00","0.00","-0.76","0.00","0.00","0.00","1.07"
"James McGee","Kennesaw State","C","6.39","2.04","415","0.52","-1.11","-0.59","0.06","0.00","0.00","0.01","0.00","0.00","0.00","4.86"
"Zane Denton","Central Arkansas","C","6.39","1.81","479","0.41","0.68","1.09","-0.33","0.00","-0.01","0.00","0.20","0.00","0.00","3.64"
"Alan Benhardt","Winthrop","1B","6.38","0.00","0","0.00","0.00","0.00","6.09","0.25","-0.03","0.07","0.00","0.00","0.00","0.00"
"Luciano Terilli","George Mason","CF","6.37","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.83","2.53","0.00"
"Willie Ponce","High Point","SS","6.37","0.00","0","0.00","0.00","0.00","4.77","0.98","0.61","0.01","0.00","0.00","0.00","0.00"
"Logan Hughes","Texas Tech","LF","6.32","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.25","1.07","0.00"
"Ryan Skjonsby","Washington State","1B","6.31","0.00","0","0.00","0.00","0.00","6.25","0.09","-0.19","0.04","0.13","0.00","0.00","0.00"
"Jevin Relaford","USF","SS","6.28","0.00","0","0.00","0.00","0.00","5.29","-0.01","0.94","0.07","0.00","0.00","0.00","0.00"
"Kingsley Guthrie","Murray State","C","6.27","3.78","216","0.31","0.00","0.31","0.00","0.00","0.00","0.00","0.28","0.00","0.00","1.90"
"Joe Tiroly","Virginia","2B","6.27","0.00","0","0.00","0.00","0.00","5.71","-0.04","0.55","0.03","0.00","0.00","0.00","0.00"
"Webb Watson","Memphis","LF","6.25","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.36","3.89","0.00"
"Breydon Divine","Alabama State","SS","6.19","0.00","0","0.00","0.00","0.00","5.75","0.38","-0.01","0.07","0.00","0.00","0.00","0.00"
"Jayder Raifstanger","St. John's","3B","6.19","0.00","0","0.00","0.00","0.00","5.10","0.20","0.00","0.06","0.83","0.00","0.00","0.00"
"Noah Miller","Michigan","C","6.16","4.31","507","0.33","-0.31","0.02","0.08","0.00","-0.01","0.00","0.22","0.00","0.00","1.53"
"Blake Barthol","Coastal Carolina","2B","6.15","0.00","0","0.00","0.00","0.00","4.95","0.09","1.04","0.07","0.00","0.00","0.00","0.00"
"Gabe Wuerth","West Georgia","2B","6.14","0.00","0","0.00","0.00","0.00","5.53","0.38","0.17","0.07","0.00","0.00","0.00","0.00"
"Bradley Brown","Queens (NC)","CF","6.11","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.95","0.15","0.00"
"Dakota Chun","Portland","C","6.11","4.98","338","0.32","0.00","0.32","0.00","0.00","-0.01","-0.38","0.06","0.00","0.00","1.13"
"Brady Boles","Texas State","2B","6.10","0.00","0","0.00","0.00","0.00","4.78","0.36","0.95","0.02","0.00","0.00","0.00","0.00"
"Levi Castilleja","Houston Christian","C","6.08","1.84","458","0.18","-0.04","0.14","0.00","-0.03","0.00","0.00","1.53","0.00","0.00","2.60"
"Frank Kelly","High Point","2B","6.08","0.00","0","0.00","0.00","0.00","4.91","0.21","0.90","0.06","0.00","0.00","0.00","0.00"
"Nolan Souza","Arkansas","2B","6.06","0.00","0","0.00","0.00","0.00","5.17","0.21","0.66","0.02","0.00","0.00","0.00","0.00"
"Wills Maginnis","Georgia State","3B","6.06","0.00","0","0.00","0.00","0.00","5.39","0.38","-0.04","0.05","0.27","0.00","0.00","0.00"
"Kruise Newman","New Orleans","1B","6.05","0.00","0","0.00","0.00","0.00","5.26","0.10","0.29","0.07","0.33","0.00","0.00","0.00"
"Elijah Pelayo","CSU Bakersfield","SS","6.04","0.00","0","0.00","0.00","0.00","4.90","0.45","0.57","0.13","0.00","0.00","0.00","0.00"
"Ayden Frey","St. John's","2B","6.02","0.00","0","0.00","0.00","0.00","5.30","-0.05","0.74","0.03","0.00","0.00","0.00","0.00"
"Nolan Traeger","TCU","C","6.02","2.88","522","0.00","-0.04","-0.04","0.00","0.00","0.00","0.00","0.05","0.00","0.00","3.13"
"Colby Wallace","East Carolina","3B","6.00","0.00","0","0.00","0.00","0.00","5.48","0.23","0.00","0.06","0.24","0.00","0.00","0.00"
"Elijah McNeal","UC Davis","SS","5.99","0.00","0","0.00","0.00","0.00","4.88","0.83","0.63","-0.35","0.00","0.00","0.00","0.00"
"Jeremy Cheeseman","Fairleigh Dickinson","1B","5.99","0.00","0","0.00","0.00","0.00","3.32","0.20","0.32","0.04","2.11","0.00","0.00","0.00"
