64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2715","2026","Logan Vaughan","George Mason","C","Sr","18","0.295","0.360","0.341","6","44","13","2","0","15","0","6","4","1","1","1","4","0","1","1","0","51"
"2716","2026","Reid Montgomery","Long Beach St.","LF","So","20","0.222","0.294","0.311","5","45","10","1","0","14","1","7","3","2","1","0","15","0","1","1","0","51"
"2717","2026","Reagan Reeder","Evansville","1B","So","22","0.203","0.281","0.380","12","79","16","3","1","30","3","9","7","2","1","0","38","1","0","5","0","89"
"2718","2026","Silas Shaffer","Eastern Ky.","C","Jr","22","0.239","0.350","0.284","13","67","16","3","0","19","0","14","11","1","1","3","14","0","0","3","0","83"
"2719","2026","Ryan Ulisse","Lafayette","CF","Sr","21","0.113","0.286","0.274","11","62","7","4","0","17","2","4","13","2","0","0","35","1","0","1","0","77"
"2720","2026","Davis Hanson","Yale","3B","Sr","21","0.205","0.363","0.315","16","73","15","5","0","23","1","13","11","7","0","4","16","0","0","2","0","95"
"2721","2026","Kody Watanabe","Hawaii","2B","Sr","28","0.202","0.317","0.262","10","84","17","5","0","22","0","15","7","8","2","0","26","2","1","5","0","101"
"2722","2026","Zach Black","Mercyhurst","DH","So","16","0.250","0.275","0.396","7","48","12","1","0","19","2","10","0","2","1","0","13","1","0","3","0","51"
"2723","2026","Webb Watson","Memphis","LF","So","22","0.200","0.360","0.383","10","60","12","2","0","23","3","12","10","5","0","1","22","0","0","1","0","76"
"2724","2026","Brandon Clizbe","New Mexico St.","C","Fr","15","0.317","0.391","0.537","12","41","13","2","2","22","1","11","3","2","0","0","15","0","0","2","0","46"
"2725","2026","Jackson Blakley","Wagner","CF","Jr","16","0.286","0.394","0.429","9","28","8","1","0","12","1","4","2","3","0","2","9","1","1","3","0","35"
"2726","2026","Drew Buchanan","North Florida","3B","Fr","25","0.190","0.304","0.276","6","58","11","2","0","16","1","13","6","4","1","0","23","1","0","2","0","69"
"2727","2026","Cade Martinez","San Diego","3B","Jr","25","0.203","0.289","0.243","9","74","15","3","0","18","0","2","6","3","0","4","16","0","0","2","0","87"
"2728","2026","Blake Simpson","Little Rock","DH","Jr","10","0.333","0.545","0.467","5","15","5","2","0","7","0","2","5","2","0","0","4","0","0","0","0","22"
"2729","2026","Pierce Dutton","Samford","CF","Jr","21","0.313","0.436","0.344","4","32","10","1","0","11","0","3","6","1","0","0","4","1","0","0","0","39"
"2730","2026","Boaz Harper","N.C. A&T","2B","So","24","0.217","0.286","0.265","10","83","18","1","0","22","1","8","6","2","0","0","30","1","0","3","0","91"
"2731","2026","Wilmer Cuevas","Alabama A&M","C","Sr","15","0.348","0.418","0.435","9","46","16","1","0","20","1","7","5","2","2","0","5","0","0","1","0","55"
