Team Rk,Year,School,Conference,P-OPS,WHIP,FIP,OPS,wOBA,R/PA,RC/AB,RA/AB,wRC35,wRA35,wRE35,Rk - wRE35
"80","2026","Portland","WCC","0.642","1.26","3.68","0.763","0.341","0.15","0.14","0.10","3.96","4.28","8.24","0.726"
"81","2026","Maryland","Big Ten","0.896","1.81","5.73","0.904","0.397","0.18","0.20","0.19","4.74","2.34","7.07","0.635"
"82","2026","Missouri","SEC","0.762","1.53","5.04","0.855","0.381","0.19","0.17","0.14","4.37","4.69","9.06","0.788"
"83","2026","Troy","Sun Belt","0.824","1.56","4.79","0.804","0.359","0.15","0.16","0.17","4.74","3.51","8.25","0.730"
"84","2026","Wichita St.","AAC","0.754","1.47","3.84","0.909","0.399","0.22","0.21","0.14","4.85","3.16","8.01","0.710"
"85","2026","Saint Joseph's","Atlantic 10","0.760","1.47","4.26","0.817","0.364","0.17","0.17","0.14","3.67","2.59","6.26","0.541"
"86","2026","Gonzaga","WCC","0.745","1.47","4.54","0.818","0.360","0.16","0.17","0.13","5.04","5.74","10.78","0.896"
"87","2026","Cal Poly","Big West","0.744","1.47","3.65","0.832","0.365","0.16","0.17","0.14","4.20","2.99","7.19","0.655"
"88","2026","Michigan","Big Ten","0.743","1.46","4.21","0.750","0.338","0.14","0.14","0.13","4.15","4.50","8.65","0.749"
"89","2026","Ohio St.","Big Ten","0.809","1.64","5.27","0.827","0.366","0.17","0.16","0.15","4.59","4.45","9.04","0.785"
"90","2026","Western Ky.","CUSA","0.791","1.46","4.21","0.797","0.358","0.15","0.16","0.15","4.90","4.27","9.17","0.798"
"91","2026","BYU","Big 12","0.882","1.74","5.74","0.849","0.371","0.17","0.17","0.18","5.04","3.38","8.42","0.739"
"92","2026","Saint Mary's (CA)","WCC","0.765","1.51","4.34","0.903","0.396","0.16","0.20","0.14","5.47","3.03","8.50","0.746"
"93","2026","Texas Tech","Big 12","0.923","1.83","6.39","1.037","0.448","0.24","0.26","0.20","6.89","2.83","9.73","0.844"
"94","2026","Middle Tenn.","CUSA","0.792","1.57","4.91","0.867","0.382","0.19","0.19","0.15","5.11","3.90","9.01","0.782"
"95","2026","Winthrop","Big South","0.764","1.44","4.62","0.828","0.371","0.17","0.16","0.14","3.81","1.20","5.01","0.371"
"96","2026","Virginia Tech","ACC","0.909","1.83","5.48","0.792","0.354","0.15","0.15","0.20","4.84","5.60","10.44","0.883"
"97","2026","Wofford","SoCon","0.754","1.47","3.97","0.884","0.394","0.20","0.19","0.14","4.60","1.99","6.59","0.577"
"98","2026","Northwestern St.","Southland","0.690","1.27","3.65","0.795","0.355","0.16","0.16","0.11","3.75","3.63","7.38","0.671"
"99","2026","USC Upstate","Big South","0.887","1.70","5.94","0.839","0.373","0.18","0.17","0.19","4.05","-0.23","3.82","0.222"
"100","2026","App State","Sun Belt","0.754","1.52","4.43","0.833","0.371","0.18","0.17","0.14","3.86","4.19","8.04","0.717"
"101","2026","Abilene Christian","WAC","0.821","1.59","5.10","0.906","0.398","0.18","0.19","0.15","4.67","1.25","5.92","0.492"
"102","2026","VMI","SoCon","0.805","1.48","4.92","0.918","0.411","0.22","0.20","0.15","4.73","1.31","6.05","0.515"
"103","2026","Kennesaw St.","CUSA","0.863","1.70","5.84","0.801","0.356","0.16","0.16","0.18","4.88","3.51","8.39","0.736"
"104","2026","California","ACC","0.754","1.47","4.45","0.793","0.347","0.13","0.16","0.14","4.79","4.00","8.78","0.752"
"105","2026","Illinois St.","MVC","0.727","1.41","4.09","0.853","0.375","0.16","0.19","0.14","5.07","3.38","8.45","0.743"
"106","2026","UC San Diego","Big West","0.880","1.64","5.45","0.800","0.361","0.15","0.15","0.19","4.29","1.44","5.73","0.466"
"107","2026","Toledo","MAC","0.773","1.64","4.27","0.874","0.389","0.19","0.18","0.15","4.45","1.72","6.17","0.521"
"108","2026","Radford","Big South","0.792","1.53","4.41","0.761","0.344","0.15","0.15","0.15","3.09","0.48","3.57","0.192"
"109","2026","Nicholls","Southland","0.746","1.47","4.52","0.729","0.327","0.15","0.13","0.13","3.15","2.78","5.93","0.498"
"110","2026","UConn","Big East","0.812","1.55","4.45","0.846","0.374","0.16","0.17","0.17","4.42","1.96","6.39","0.560"
"111","2026","Western Caro.","SoCon","0.807","1.47","4.51","0.836","0.372","0.17","0.17","0.16","4.21","0.77","4.99","0.368"
"112","2026","Austin Peay","ASUN","0.810","1.57","5.43","0.796","0.353","0.18","0.16","0.16","3.74","1.84","5.58","0.450"
"113","2026","Hawaii","Big West","0.639","1.21","3.37","0.647","0.299","0.12","0.10","0.10","2.73","4.29","7.02","0.625"
"114","2026","Washington","Big Ten","0.760","1.41","3.94","0.811","0.357","0.16","0.16","0.14","4.74","4.56","9.30","0.808"
"115","2026","Wright St.","Horizon","0.757","1.47","5.34","0.751","0.336","0.14","0.14","0.14","3.38","3.27","6.65","0.583"
"116","2026","Cal St. Fullerton","Big West","0.684","1.25","3.72","0.737","0.331","0.12","0.14","0.12","3.26","3.52","6.77","0.599"
"117","2026","Air Force","MW","0.889","1.79","5.37","0.857","0.380","0.20","0.18","0.19","4.79","1.48","6.27","0.544"
"118","2026","Michigan St.","Big Ten","0.811","1.50","4.92","0.751","0.334","0.14","0.14","0.16","4.53","2.88","7.41","0.674"
"119","2026","Bethune-Cookman","SWAC","0.727","1.49","4.00","0.839","0.378","0.20","0.16","0.13","3.18","2.08","5.26","0.401"
"120","2026","Rutgers","Big Ten","0.779","1.52","4.24","0.819","0.364","0.17","0.16","0.15","4.53","4.77","9.30","0.811"
"121","2026","ULM","Sun Belt","0.855","1.76","5.00","0.906","0.398","0.20","0.19","0.18","4.88","1.41","6.30","0.550"
"122","2026","Little Rock","OVC","0.780","1.51","5.19","0.842","0.372","0.16","0.17","0.15","4.29","2.02","6.31","0.554"
"123","2026","James Madison","Sun Belt","0.857","1.72","5.55","0.830","0.368","0.17","0.17","0.17","4.21","3.49","7.71","0.694"
"124","2026","North Florida","ASUN","0.734","1.50","4.13","0.800","0.358","0.17","0.16","0.13","3.44","2.48","5.92","0.489"
"125","2026","Fla. Atlantic","AAC","0.803","1.66","4.46","0.773","0.347","0.14","0.14","0.16","4.20","2.90","7.10","0.638"
"126","2026","UTRGV","Southland","0.828","1.62","4.28","0.795","0.357","0.16","0.16","0.17","3.98","0.72","4.70","0.336"
"127","2026","Longwood","Big South","0.710","1.36","3.62","0.816","0.365","0.15","0.16","0.14","2.95","0.76","3.72","0.208"
"128","2026","Samford","SoCon","0.822","1.57","4.86","0.838","0.370","0.15","0.17","0.16","4.31","3.90","8.21","0.723"
"129","2026","San Diego St.","MW","0.785","1.46","4.53","0.808","0.358","0.16","0.16","0.15","3.76","3.00","6.75","0.593"
"130","2026","Indiana","Big Ten","0.855","1.65","5.25","0.767","0.344","0.14","0.15","0.17","4.65","5.05","9.70","0.840"
"131","2026","CSUN","Big West","0.817","1.46","5.06","0.895","0.390","0.17","0.19","0.16","5.02","0.88","5.90","0.485"
"132","2026","The Citadel","SoCon","0.806","1.59","5.58","0.714","0.325","0.14","0.12","0.16","3.74","3.52","7.26","0.664"
"133","2026","Nevada","MW","0.878","1.79","4.98","0.932","0.405","0.20","0.22","0.19","4.74","1.25","5.99","0.505"
"134","2026","McNeese","Southland","0.766","1.52","4.58","0.772","0.349","0.15","0.14","0.14","3.41","3.37","6.78","0.603"
"135","2026","Northeastern","CAA","0.726","1.48","4.66","0.812","0.364","0.17","0.16","0.12","3.88","3.58","7.46","0.677"
"136","2026","Utah","Big 12","0.885","1.73","5.46","0.876","0.386","0.18","0.19","0.19","5.56","3.26","8.82","0.762"
"137","2026","UNLV","MW","0.869","1.83","4.78","0.959","0.417","0.23","0.22","0.18","5.61","2.13","7.74","0.697"
"138","2026","Northwestern","Big Ten","0.934","1.75","6.52","0.788","0.346","0.15","0.15","0.22","4.87","2.88","7.75","0.707"
"139","2026","SFA","Southland","0.777","1.61","4.24","0.802","0.359","0.17","0.16","0.14","2.84","0.34","3.18","0.166"
"140","2026","New Mexico St.","CUSA","0.899","1.89","6.18","0.896","0.396","0.21","0.19","0.20","4.23","2.57","6.79","0.606"
"141","2026","Marshall","Sun Belt","0.835","1.64","4.52","0.843","0.375","0.18","0.17","0.17","4.83","2.76","7.59","0.687"
"142","2026","Rice","AAC","0.778","1.52","5.04","0.711","0.322","0.13","0.13","0.14","3.53","2.40","5.93","0.495"
"143","2026","Sacramento St.","WAC","0.731","1.40","4.27","0.735","0.333","0.15","0.14","0.13","3.50","3.61","7.11","0.642"
"144","2026","New Mexico","MW","0.859","1.70","4.75","0.907","0.399","0.21","0.20","0.17","4.20","0.46","4.66","0.326"
"145","2026","UNC Greensboro","SoCon","0.859","1.77","5.31","0.793","0.353","0.15","0.15","0.18","4.03","1.36","5.39","0.427"
"146","2026","Eastern Ill.","OVC","0.833","1.58","5.52","0.878","0.390","0.19","0.19","0.19","4.71","0.57","5.28","0.404"
"147","2026","Tulane","AAC","0.746","1.49","4.40","0.775","0.352","0.16","0.15","0.14","3.97","3.78","7.75","0.704"
